dispatching_base_number,date,active_vehicles,trips,month,day,weekday
B02765,2015-01-21,296,1774,1,21,Wednesday
B02617,2015-01-21,1429,10997,1,21,Wednesday
B02617,2015-01-22,1471,12143,1,22,Thursday
B02764,2015-01-22,3889,30091,1,22,Thursday
B02512,2015-01-22,246,1551,1,22,Thursday
B02598,2015-01-22,1071,9080,1,22,Thursday
B02682,2015-01-22,1295,10699,1,22,Thursday
B02765,2015-01-22,295,2038,1,22,Thursday
B02598,2015-01-23,1093,9343,1,23,Friday
B02512,2015-01-23,246,1670,1,23,Friday
B02765,2015-01-23,299,2162,1,23,Friday
B02764,2015-01-23,4040,33756,1,23,Friday
B02617,2015-01-23,1482,13121,1,23,Friday
B02682,2015-01-23,1330,11767,1,23,Friday
B02598,2015-01-24,945,10040,1,24,Saturday
B02764,2015-01-24,3652,39187,1,24,Saturday
B02512,2015-01-24,211,1608,1,24,Saturday
B02617,2015-01-24,1367,14143,1,24,Saturday
B02682,2015-01-24,1223,13355,1,24,Saturday
B02765,2015-01-24,245,2376,1,24,Saturday
B02512,2015-01-25,183,1190,1,25,Sunday
B02764,2015-01-25,3300,28066,1,25,Sunday
B02765,2015-01-25,226,1755,1,25,Sunday
B02598,2015-01-25,829,7219,1,25,Sunday
B02682,2015-01-25,1046,9303,1,25,Sunday
B02617,2015-01-25,1203,10362,1,25,Sunday
B02617,2015-01-26,1150,7608,1,26,Monday
B02598,2015-01-26,860,5919,1,26,Monday
B02765,2015-01-26,230,1363,1,26,Monday
B02764,2015-01-26,3012,19940,1,26,Monday
B02682,2015-01-26,1084,7565,1,26,Monday
B02512,2015-01-26,197,1000,1,26,Monday
B02682,2015-01-27,600,4414,1,27,Tuesday
B02765,2015-01-27,135,921,1,27,Tuesday
B02617,2015-01-27,596,4325,1,27,Tuesday
B02598,2015-01-27,434,2957,1,27,Tuesday
B02512,2015-01-27,112,629,1,27,Tuesday
B02764,2015-01-27,1619,11998,1,27,Tuesday
B02764,2015-01-28,3692,28137,1,28,Wednesday
B02682,2015-01-28,1235,10025,1,28,Wednesday
B02765,2015-01-28,286,1913,1,28,Wednesday
B02617,2015-01-28,1356,10862,1,28,Wednesday
B02598,2015-01-28,1011,8071,1,28,Wednesday
B02512,2015-01-28,235,1438,1,28,Wednesday
B02617,2015-01-29,1474,12600,1,29,Thursday
B02764,2015-01-29,3959,31637,1,29,Thursday
B02682,2015-01-29,1316,11485,1,29,Thursday
B02765,2015-01-29,295,2086,1,29,Thursday
B02512,2015-01-29,250,1687,1,29,Thursday
B02598,2015-01-29,1082,9499,1,29,Thursday
B02512,2015-01-30,256,2016,1,30,Friday
B02617,2015-01-30,1501,14793,1,30,Friday
B02682,2015-01-30,1384,13852,1,30,Friday
B02764,2015-01-30,4124,39110,1,30,Friday
B02765,2015-01-30,322,2785,1,30,Friday
B02598,2015-01-30,1106,11167,1,30,Friday
B02765,2015-01-31,309,3282,1,31,Saturday
B02512,2015-01-31,225,1892,1,31,Saturday
B02617,2015-01-31,1394,15756,1,31,Saturday
B02682,2015-01-31,1321,15388,1,31,Saturday
B02764,2015-01-31,3947,44297,1,31,Saturday
B02598,2015-01-31,1027,11642,1,31,Saturday
B02598,2015-02-01,961,9499,2,1,Sunday
B02682,2015-02-01,1214,12436,2,1,Sunday
B02512,2015-02-01,193,1377,2,1,Sunday
B02765,2015-02-01,289,2672,2,1,Sunday
B02617,2015-02-01,1355,13458,2,1,Sunday
B02764,2015-02-01,3740,37468,2,1,Sunday
B02617,2015-02-02,1217,12216,2,2,Monday
B02682,2015-02-02,1152,11981,2,2,Monday
B02765,2015-02-02,275,2607,2,2,Monday
B02598,2015-02-02,939,9511,2,2,Monday
B02764,2015-02-02,3270,30761,2,2,Monday
B02512,2015-02-02,227,1904,2,2,Monday
B02765,2015-02-03,299,2410,2,3,Tuesday
B02598,2015-02-03,991,9602,2,3,Tuesday
B02512,2015-02-03,257,1915,2,3,Tuesday
B02764,2015-02-03,3674,31641,2,3,Tuesday
B02617,2015-02-03,1350,12665,2,3,Tuesday
B02682,2015-02-03,1269,11955,2,3,Tuesday
B02764,2015-02-04,3856,29994,2,4,Wednesday
B02765,2015-02-04,309,2334,2,4,Wednesday
B02512,2015-02-04,244,1639,2,4,Wednesday
B02682,2015-02-04,1311,11309,2,4,Wednesday
B02617,2015-02-04,1393,11959,2,4,Wednesday
B02598,2015-02-04,1072,9600,2,4,Wednesday
B02617,2015-02-05,1524,14499,2,5,Thursday
B02682,2015-02-05,1418,13782,2,5,Thursday
B02598,2015-02-05,1179,11609,2,5,Thursday
B02512,2015-02-05,264,2022,2,5,Thursday
B02765,2015-02-05,355,3011,2,5,Thursday
B02764,2015-02-05,4093,35990,2,5,Thursday
B02617,2015-02-06,1526,15417,2,6,Friday
B02765,2015-02-06,385,3569,2,6,Friday
B02598,2015-02-06,1181,11897,2,6,Friday
B02512,2015-02-06,261,1989,2,6,Friday
B02764,2015-02-06,4170,38693,2,6,Friday
B02682,2015-02-06,1414,14375,2,6,Friday
B02598,2015-02-07,1031,10512,2,7,Saturday
B02512,2015-02-07,211,1504,2,7,Saturday
B02617,2015-02-07,1383,13688,2,7,Saturday
B02682,2015-02-07,1300,13450,2,7,Saturday
B02764,2015-02-07,3849,38530,2,7,Saturday
B02765,2015-02-07,345,3473,2,7,Saturday
B02764,2015-02-08,3422,29692,2,8,Sunday
B02765,2015-02-08,313,2623,2,8,Sunday
B02598,2015-02-08,923,8129,2,8,Sunday
B02617,2015-02-08,1256,11004,2,8,Sunday
B02682,2015-02-08,1136,10356,2,8,Sunday
B02512,2015-02-08,176,1196,2,8,Sunday
B02617,2015-02-09,1312,10887,2,9,Monday
B02682,2015-02-09,1241,10209,2,9,Monday
B02598,2015-02-09,976,8135,2,9,Monday
B02764,2015-02-09,3543,28266,2,9,Monday
B02512,2015-02-09,228,1565,2,9,Monday
B02765,2015-02-09,388,2894,2,9,Monday
B02764,2015-02-10,3700,29124,2,10,Tuesday
B02512,2015-02-10,233,1555,2,10,Tuesday
B02617,2015-02-10,1364,11401,2,10,Tuesday
B02765,2015-02-10,422,3432,2,10,Tuesday
B02682,2015-02-10,1281,10536,2,10,Tuesday
B02598,2015-02-10,1029,8718,2,10,Tuesday
B02617,2015-02-11,1450,12749,2,11,Wednesday
B02764,2015-02-11,3849,31889,2,11,Wednesday
B02512,2015-02-11,255,1831,2,11,Wednesday
B02598,2015-02-11,1115,10034,2,11,Wednesday
B02765,2015-02-11,450,3778,2,11,Wednesday
B02682,2015-02-11,1396,12189,2,11,Wednesday
B02617,2015-02-12,1532,14263,2,12,Thursday
B02512,2015-02-12,269,2092,2,12,Thursday
B02682,2015-02-12,1468,13786,2,12,Thursday
B02765,2015-02-12,536,4609,2,12,Thursday
B02598,2015-02-12,1181,11640,2,12,Thursday
B02764,2015-02-12,4137,36844,2,12,Thursday
B02617,2015-02-13,1590,16996,2,13,Friday
B02682,2015-02-13,1523,16088,2,13,Friday
B02764,2015-02-13,4395,43561,2,13,Friday
B02765,2015-02-13,599,5909,2,13,Friday
B02512,2015-02-13,281,2408,2,13,Friday
B02598,2015-02-13,1216,13062,2,13,Friday
B02764,2015-02-14,4129,45858,2,14,Saturday
B02512,2015-02-14,236,2055,2,14,Saturday
B02598,2015-02-14,1111,12678,2,14,Saturday
B02765,2015-02-14,583,6307,2,14,Saturday
B02617,2015-02-14,1486,16999,2,14,Saturday
B02682,2015-02-14,1428,16448,2,14,Saturday
B02682,2015-02-15,1261,14517,2,15,Sunday
B02764,2015-02-15,3651,41209,2,15,Sunday
B02617,2015-02-15,1293,14662,2,15,Sunday
B02765,2015-02-15,521,5500,2,15,Sunday
B02512,2015-02-15,210,1996,2,15,Sunday
B02598,2015-02-15,1003,11517,2,15,Sunday
B02598,2015-02-16,934,9052,2,16,Monday
B02512,2015-02-16,207,1576,2,16,Monday
B02617,2015-02-16,1214,11824,2,16,Monday
B02764,2015-02-16,3524,33448,2,16,Monday
B02682,2015-02-16,1164,11323,2,16,Monday
B02765,2015-02-16,508,4875,2,16,Monday
B02764,2015-02-17,3826,32473,2,17,Tuesday
B02512,2015-02-17,241,1797,2,17,Tuesday
B02682,2015-02-17,1314,11887,2,17,Tuesday
B02617,2015-02-17,1378,12524,2,17,Tuesday
B02598,2015-02-17,1066,9463,2,17,Tuesday
B02765,2015-02-17,578,4907,2,17,Tuesday
B02598,2015-02-18,1078,9538,2,18,Wednesday
B02682,2015-02-18,1314,11724,2,18,Wednesday
B02617,2015-02-18,1394,12016,2,18,Wednesday
B02765,2015-02-18,586,5059,2,18,Wednesday
B02764,2015-02-18,3842,32317,2,18,Wednesday
B02512,2015-02-18,228,1589,2,18,Wednesday
B02598,2015-02-19,1127,11739,2,19,Thursday
B02512,2015-02-19,250,2120,2,19,Thursday
B02682,2015-02-19,1428,14591,2,19,Thursday
B02764,2015-02-19,4110,39110,2,19,Thursday
B02765,2015-02-19,663,6447,2,19,Thursday
B02617,2015-02-19,1452,14750,2,19,Thursday
B02764,2015-02-20,4384,44755,2,20,Friday
B02617,2015-02-20,1574,16856,2,20,Friday
B02598,2015-02-20,1186,12758,2,20,Friday
B02682,2015-02-20,1497,16342,2,20,Friday
B02765,2015-02-20,736,7824,2,20,Friday
B02512,2015-02-20,272,2380,2,20,Friday
B02598,2015-02-21,1044,12132,2,21,Saturday
B02682,2015-02-21,1374,16149,2,21,Saturday
